GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll,marginal_damage
06031,16711,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.904318,36.24002,2.428720508166969,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291373,egu,elevated,NA,NOX,12486.634867342815
06031,17611,ALTAGAS SAN JOAQUIN ENERGY INC.,-119.647676,36.269528,1.464092558983666,12.1914050594331,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,NOX,15155.50465179842
06035,53211,MT. LASSEN POWER,-121.018,40.297,76.22504537205081,38.09814081072844,1.5239256324291375,380.3722222222222,1.0344102407802498,egu,elevated,NA,NOX,4333.817138030645
06011,75711,WADHAM ENERGY LTD PARTNERSHIP,-122.1104,39.1055,158.0852994555354,64.61444681499543,2.133495885400792,434.8166666666666,18.21136848521792,egu,elevated,NA,NOX,6188.676285640356
06007,124511,"OROVILLE COGENERATION, L.P.",-121.60517,39.51628,0.018148820326678763,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,7735.49747159942
06013,148911,LOS MEDANOS ENERGY CENTER,-121.8727,38.0298,72.72074355716877,12.191405059433102,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,NOX,46765.38247823373
06013,150711,DELTA ENERGY CENTER,-121.84376,38.0151,81.98734119782213,12.191405059433102,0.6095702529716549,394.26111111111106,15.239256324291375,egu,elevated,NA,NOX,47473.20956575768
06023,155111,PG&E - HUMBOLDT BAY GENERATING STATION,-124.2084,40.7411,21.73949338475499,30.478512648582747,1.6153611703748858,663.7055555555555,25.241420298689427,egu,elevated,NA,NOX,2698.879551078535
06023,155811,DG FAIRHAVEN POWER COMPANY,-124.2027,40.7998,1.060688566243194,30.478512648582747,2.133495885400792,434.81666666666666,15.569094788174336,egu,elevated,NA,NOX,2948.9442742670903
06013,203111,MARTINEZ COGEN LIMITED PARTNERSHIP,-122.06755,38.02209000000001,96.75040834845736,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,8472.316295368057
05119,210811,ARK ELEC CO-OP-OSWALD GENERATING STATION,-92.21654785714286,34.59321371428572,137.84029038112521,47.44936584026892,3.4123293308632157,413.7055555555555,21.300868667707764,egu,elevated,NA,NOX,7392.753235473011
05119,210911,WASTE MANAGEMENT-TWO PINE LANDFILL,-92.163531,34.834994,52.88050816696914,8.951745346914425,0.24999046548823084,699.8166666666666,19.33139586692901,egu,elevated,NA,NOX,12621.178310800635
06029,295911,"LINN OPERATING, INC",-119.37164,35.16575,16.012976406533575,18.28710758914965,3.474550441938433,460.92777777777775,53.62740018287108,egu,elevated,NA,NOX,15829.160130635706
06019,348711,FRESNO COGENERATION PARTNERS,-120.099422,36.61682800000001,1.2740686025408348,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,10429.842436948187
06013,353611,"CROCKETT COGENERATION, A CAL LTD PARTNERSHIP",-122.21585,38.05712,71.64348457350269,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,7396.154831700709
06029,361111,SUNRISE POWER COMPANY,-119.585,35.2097,43.60921052631579,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,11907.174095451413
06029,410111,DOUBLE C LIMITED,-119.0461,35.5006,1.246176950998185,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,12618.491409768001
06029,412511,BADGER CREEK LIMITED,-119.029933,35.483724,0.7918956442831215,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,12881.25357617586
06029,456011,LIVE OAK LIMITED,-119.009053,35.496231,1.0041379310344827,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,14169.623041426103
06029,458111,BEAR MOUNTAIN LIMITED,-118.92654,35.419205,1.4640653357531759,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,15634.57684979392
06029,492111,CHALK CLIFF LIMITED,-119.39467,35.09769,1.388149727767695,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,egu,elevated,NA,NOX,14313.106125243932
12099,533611,SOLID WASTE AUTHORITY OF PBC,-80.14162233333334,26.771985333333333,949.7120689655171,81.79209799444976,2.172629396158212,477.3224154558768,22.691754072317895,egu,elevated,NA,NOX,16751.05203697555
12001,535011,"CITY OF GAINESVILLE, GRU",-82.38859500000001,29.75842,1071.7785843920144,104.13798903387709,5.280882938073912,407.7953400314208,15.164189019833897,egu,elevated,NA,NOX,11223.307494142917
12001,536811,GAINESVILLE REGIONAL UTILITIES,-82.321803,29.646,54.44646098003629,31.088082901554404,4.724169460530326,389.8166666666666,18.95763486741847,egu,elevated,NA,NOX,14836.339911533312
12081,537811,"TROPICANA MANUFACTURING COMPANY, INC.",-82.54796800000003,27.483272,63.87840381125224,20.42060347455044,3.65742151782993,404.26111111111106,15.452605912831457,egu,elevated,NA,NOX,11394.736773354138
12081,537911,FLORIDA POWER & LIGHT (PMT),-82.34568499999999,27.606119999999997,727.9730798548094,128.74679844687913,7.733983831858807,453.6015446516812,23.851823084568416,egu,elevated,NA,NOX,3898.272478009224
12057,538611,TAMPA ELECTRIC COMPANY (TEC),-82.40327449999998,27.794846,2366.2431941923774,148.98786698988198,7.302809890709823,366.48489713827956,22.140379849509362,egu,elevated,NA,NOX,5460.771675615725
04013,545911,Redhawk Generating Facility,-112.8411,33.3346,161.55898366606166,53.337397135019806,5.486132276744895,365.3722222222222,20.572996037793356,egu,elevated,NA,NOX,1720.4073025585224
04013,546011,Arlington Valley LLC,-112.889,33.3409,50.43012704174228,56.385248399878094,5.486132276744896,356.48333333333335,19.689119170984455,egu,elevated,NA,NOX,1740.9645507525822
04013,547311,Ocotillo Power Plant,-111.91178,33.42493,205.15335753176043,40.95876032059574,3.390112266509823,504.5151275291675,21.817051570789584,egu,elevated,NA,NOX,1517.2925390586533
12105,552011,"DUKE ENERGY FLORIDA, LLC",-81.87002000000001,27.788707000000002,611.7876588021778,38.09814081072843,5.747721540290421,361.8726152864919,18.449887050842758,egu,elevated,NA,NOX,12011.205298035109
09011,552611,"MONTVILLE POWER, LLC",-72.10028,41.42929,49.188921234119775,106.76953489510042,4.914141954665561,545.9926953561717,31.248954371216136,egu,elevated,NA,NOX,9590.858442536899
12069,552811,"COVANTA LAKE II, INC.",-81.88944000000002,28.73974,425.13480036297636,60.65224017067967,1.3105760438890581,405.3722222222222,20.786345626333436,egu,elevated,NA,NOX,20590.391468179096
12087,554011,FLORIDA MUNICIPAL POWER AGENCY,-81.73645933333333,24.563495666666668,3.732662431941923,23.770782479434626,2.3164523196279387,671.4346525278153,31.300015223110854,egu,elevated,NA,NOX,1015.6790380480211
12005,554911,GULF POWER COMPANY,-85.69929033333332,30.271135666666666,482.29360344827586,36.84729208701113,5.119129002664073,359.37153502393755,22.51306806695977,egu,elevated,NA,NOX,6931.335844311871
13185,555311,PCA Valdosta Mill,-83.303066,30.692288,372.546279491833,91.43553794574824,3.047851264858275,463.7055555555555,22.64553489789698,egu,elevated,NA,NOX,8124.652703435484
